common_name,sciname,perc_fishmeal,perc_fishoil,country,raw_material,fao_fishing_area
Skipjack tuna,Katsuwonus pelamis,23,3,"Ecuador, Spain",trimmings,
Yellowfin tuna,Thunnus albacares,20.7,2.4,"American Samoa, Philippines, Papa New Guinea, Thailand, Ecuador, Mauritius, Spain",trimmings,
Atlantic herring,Clupea harengus,11.9,22,"Canada, Denmark, France, Iceland, Italy, Norway, UK",trimmings,
Atlantic mackerel,Scomber scombrus,7.8,8.2,"Denmark, Iceland, Norway, Spain, UK",trimmings,
Capelin,Mallotus villosus,5.9,3.8,"Iceland, Norway",trimmings,
Sardine,Sardinella spp,4.7,2.1,Several,trimmings,
Other,NA,3.1,5.7,Several,trimmings,
Tuna,Thunnini spp,2.3,0.8,"Ecuador, Portugal, Spain",trimmings,
Jackmackerel,Trachurus symmetricus,2.1,1.1,Chile,trimmings,
Blue whiting,Micromesistius poutassou,1.5,0,"France, Norway",trimmings,
Splendid Ponyfish,Eubleekeria splendens,1.4,0,Vietnam,trimmings,
Cod,Gadus morhua,1.3,0,"Denmark, France",trimmings,
Shortfin Scad,Decapterus macrosoma,1.3,0,Ecuador,trimmings,
Orange-spotted Spinefoot,Siganus guttatus,1.2,0,Vietnam,trimmings,
Albacore,Thunnus alalunga,1.2,0.6,Spain,trimmings,
Chub Mackerel,Scomber japonicus,1.1,0.8,Ecuador,trimmings,
Yellowstripe Scad,Selaroides leptolepis,1.1,0,NA,trimmings,
Hake,Merluccius spp,1,0,"Ecuador, France",trimmings,
Sprat,Sprattus sprattus,1,0.6,"Denmark, Norway",trimmings,
Pacific thread herring,Opisthonema libertate,0.7,0,"Ecuador, Mexico",trimmings,
Peruvian anchoveta,Engraulis ringens,0.6,1.8,Peru,trimmings,
Pacific Anchoveta,Cetengraulis mysticetus,0.6,0,"Peru, Ecuador",trimmings,
Atlantic salmon,Salmo salar,0.5,37.2,"Chile, Italy, Latvia, Norway, UK",trimmings,
Coho Salmon,Oncorhynchus kisutch,0,2.2,Chile,trimmings,
Rainbow Trout,Oncorhynchus mykiss,0,1.4,Norway,trimmings,
Sandeel,Ammodytes spp,0,1.3,"Denmark, Norway",trimmings,
Pollock,Pollachius pollachius,0,1.3,USA,trimmings,
Peruvian anchoveta,Engraulis ringens,25.2,15,"Chile, Peru, Ecuador",wholefish,87
South American Pilchard,Sardinops sagax,8.9,17.5,"Chile, Peru, Ecuador",wholefish,87
Chub Mackerel,Scomber japonicus,7.5,1.9,"Mexico, Ecuador, Peru, Chile",wholefish,87
Blue whiting,Micromesistius poutassou,7,3.7,"Norway, Denmark, Faroe Islands, Iceland",wholefish,27
European sardine,Sardina pilchardus,6.7,0,"Mauritania, Morocco, Turkey",wholefish,34
Chilean anchoveta,Engraulis ringens,6.3,5.5,Chile,wholefish,87
Anchovy,,5.1,3.9,Several,wholefish,NA
Atlantic Herring,Clupea harengus,4.1,5.8,"Norway, Denmark, Faroe Islands, Iceland",wholefish,27
European Sprat,Sprattus sprattus,3.7,8.8,"Denmark, Norway",wholefish,27
Capelin,Mallotus villosus,3.2,7,Iceland,wholefish,27
Sandeel,Ammodytes tobianus,2.5,3.9,"Denmark, Norway",wholefish,27
Frigate tuna,Auxis thazard,2.1,0,Ecuador,wholefish,87
Common Searobin,Prionotus carolinus,1.7,0,Ecuador,wholefish,87
Boarfish,Capros aper,1.6,0,"Denmark, Ireland, Norway",wholefish,27
Sardine,Sardinella spp,1.1,0,Several,wholefish,NA
Menhaden,Brevoortia patronus,1.2,3.3,"USA, Mexico",wholefish,31
Norway pout,Trisopterus esmarkii,1.2,0.8,"Denmark, Norway",wholefish,27
Pacific jack mackerel,Trachurus symmetricus,1,0,"Chile, Peru",wholefish,87
Shortfin scad,Decapterus macrosoma,0.6,0,Ecuador,wholefish,87
Other,,0.6,2.7,NA,wholefish,NA
Atlantic horse mackerel,Trachurus trachurus,0.5,0,"Denmark, Norway",wholefish,27
Shrimp,,0.5,0,Several,wholefish,
Atlantic Salmon,Salmo salar,0,3.9,"Chile, Norway",wholefish,"87, 27"
Pacific Anchoveta,Cetengraulis mysticetus,0,1.8,"Mexico, USA",wholefish,"87, 77"
Sardine,Sardinella spp,1.1,1.7,"Vietnam, Philippines",wholefish,71
Pacific jack mackerel,Trachurus symmetricus,3.5,0,"Chile, Ecuador, Mexico",wholefish,"87, 77"
Indian oil sardine,Sardinella longiceps,0.4,2.7,"India, Oman",wholefish,57
Pollock,Pollachius virens,1.1,0,USA,wholefish,67
Yellowfin tuna,Thunnus albacares,1,0,"Mexico, Oman, Philippines, Ecuador",wholefish,"71, 77, 57, 87"