"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c"
"","Miscellaneous species","Colombia","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","COL"
"","Miscellaneous species","Ecuador","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","ECU"
"","Miscellaneous species","Norway","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","NOR"
"","Miscellaneous species","Peru","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","PER"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER"
"Dosidicus gigas","Humboldt squid","Argentina","no","yes",1,1535.054608,0,"cargill",NA,"Humboldt squid","ARG"
"Dosidicus gigas","Humboldt squid","Ecuador","no","yes",1,1535.054608,0,"cargill",NA,"Humboldt squid","ECU"
"Dosidicus gigas","Humboldt squid","Peru","no","yes",1,1535.054608,0,"cargill",NA,"Humboldt squid","PER"
"Dosidicus gigas","Humboldt squid","South Korea","no","yes",1,1535.054608,0,"cargill",NA,"Humboldt squid","KOR"
"Engraulis japonicus","Japanese anchovy","China","yes","no",0,0,3868.5558044,"cargill",NA,"Japanese anchovy","CHN"
"Engraulis japonicus","Japanese anchovy","Japan","yes","no",0,0,3574.575245,"cargill",NA,"Japanese anchovy","JPN"
"Engraulis ringens","Peruvian anchoveta","Chile","yes","no",0,0,18456.48035,"cargill",NA,"Peruvian anchoveta","CHL"
"Engraulis ringens","Peruvian anchoveta","Ecuador","yes","yes",0.601066800174383,2631.992771,1746.876217,"cargill",NA,"Peruvian anchoveta","ECU"
"Engraulis ringens","Peruvian anchoveta","Norway","yes","no",0,0,1746.876217,"cargill",NA,"Peruvian anchoveta","NOR"
"Engraulis ringens","Peruvian anchoveta","Peru","yes","yes",0.150072668461804,3567.3304286,20203.356567,"cargill",NA,"Peruvian anchoveta","PER"
"Engraulis ringens","Peruvian anchoveta","U.S.","yes","no",0,0,1746.876217,"cargill",NA,"Peruvian anchoveta","USA"
"Hypothalamus sp.","Pangasius","Vietnam","no","yes",1,497.4103986,0,"cargill",NA,"Pangasius","VNM"
"Katsuwonus pelamis","Skipjack tuna","Ecuador","no","yes",1,5086.103678,0,"cargill",NA,"Skipjack tuna","ECU"
"Katsuwonus pelamis","Skipjack tuna","Mauritius","no","yes",1,5086.103678,0,"cargill",NA,"Skipjack tuna","MUS"
"Katsuwonus pelamis","Skipjack tuna","Peru","no","yes",1,5086.103678,0,"cargill",NA,"Skipjack tuna","PER"
"Katsuwonus pelamis","Skipjack tuna","Vietnam","no","yes",1,5086.103678,0,"cargill",NA,"Skipjack tuna","VNM"
"Mallotus villosus","Capelin","Denmark","yes","yes",0.463462017793708,4836.380083,5598.952042,"cargill",NA,"Capelin","DNK"
"Mallotus villosus","Capelin","Iceland","yes","yes",0.463462017793708,4836.380083,5598.952042,"cargill",NA,"Capelin","ISL"
"Mallotus villosus","Capelin","Norway","yes","yes",0.463462017793708,4836.380083,5598.952042,"cargill",NA,"Capelin","NOR"
"Merluccius hubbsi","Argentine hake","Argentina","no","yes",1,1049.403226,0,"cargill",NA,"Argentine hake","ARG"
"Micromesistius poutassou","Blue whiting","Denmark","yes","no",0,0,55880.09464,"cargill",NA,"Blue whiting","DNK"
"Micromesistius poutassou","Blue whiting","Faroe Islands","yes","no",0,0,55880.09464,"cargill",NA,"Blue whiting","FRO"
"Micromesistius poutassou","Blue whiting","Iceland","yes","no",0,0,55880.09464,"cargill",NA,"Blue whiting","ISL"
"Micromesistius poutassou","Blue whiting","Ireland","no","yes",1,988.568256,0,"cargill",NA,"Blue whiting","IRL"
"Micromesistius poutassou","Blue whiting","Norway","yes","yes",0.0173833567672915,988.568256,55880.09464,"cargill",NA,"Blue whiting","NOR"
"Micromesistius poutassou","Blue whiting","U.K.","no","yes",1,988.568256,0,"cargill",NA,"Blue whiting","GBR"
"Opisthonema sp.","Thread herring","Ecuador","no","yes",1,1890.818336,0,"cargill",NA,"Thread herring","ECU"
"Salmo salar","Atlantic salmon","Chile","no","yes",1,1472.466544,0,"cargill",NA,"Atlantic salmon","CHL"
"Sarda chiliensis","Pacific bonito","Ecuador","no","yes",1,2450.816798,0,"cargill",NA,"Pacific bonito","ECU"
"Sarda chiliensis","Pacific bonito","Peru","no","yes",1,2450.816798,0,"cargill",NA,"Pacific bonito","PER"
"Sardina pilchardus","European pilchard","Mauritania","yes","no",0,0,6820.873171,"cargill",NA,"European pilchard","MRT"
"Sardina pilchardus","European pilchard","Norway","yes","no",0,0,6820.873171,"cargill",NA,"European pilchard","NOR"
"Sardinella longiceps","Indian oil sardine","India","yes","yes",0.126262569866035,1851.289033,12810.9266574,"cargill",NA,"Indian oil sardine","IND"
"Sardinella longiceps","Indian oil sardine","Oman","yes","no",0,0,12346.8747,"cargill",NA,"Indian oil sardine","OMN"
"Sardinella sp.","Sardine","Mexico","yes","no",0,0,434.8968606,"cargill",NA,"Sardine","MEX"
"Sardinops sagax","South American pilchard","Chile","yes","no",0,0,22213.43188,"cargill",NA,"South American pilchard","CHL"
"Sardinops sagax","South American pilchard","Japan","yes","no",0,0,22213.43188,"cargill",NA,"South American pilchard","JPN"
"Sardinops sagax","South American pilchard","Mexico","yes","no",0,0,22213.43188,"cargill",NA,"South American pilchard","MEX"
"Sardinops sagax","South American pilchard","Panama","yes","no",0,0,22213.43188,"cargill",NA,"South American pilchard","PAN"
"Scomber japonicus","Chub mackerel","Ecuador","no","yes",1,4634.8108,0,"cargill",NA,"Chub mackerel","ECU"
"Scomber japonicus","Chub mackerel","Peru","no","yes",1,4634.8108,0,"cargill",NA,"Chub mackerel","PER"
"Scomber scombrus","Atlantic mackerel","Denmark","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","DNK"
"Scomber scombrus","Atlantic mackerel","Faroe Islands","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","FRO"
"Scomber scombrus","Atlantic mackerel","Iceland","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","ISL"
"Scomber scombrus","Atlantic mackerel","Ireland","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","IRL"
"Scomber scombrus","Atlantic mackerel","Norway","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","NOR"
"Scomber scombrus","Atlantic mackerel","U.K.","no","yes",1,12128.97206,0,"cargill",NA,"Atlantic mackerel","GBR"
"Sprattus sprattus","European sprat","Denmark","yes","no",0,0,12912.24119,"cargill",NA,"European sprat","DNK"
"Sprattus sprattus","European sprat","Norway","yes","no",0,0,12912.24119,"cargill",NA,"European sprat","NOR"
"Strangomera bentincki","Araucanian herring","Chile","yes","no",0,0,3884.614934,"cargill",NA,"Araucanian herring","CHL"
"Theragra chalcogramma","Alaska pollock","U.S.","no","yes",1,3718.537517,0,"cargill",NA,"Alaska pollock","USA"
"Thunnus albacares","Yellowfin tuna","Ecuador","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","ECU"
"Thunnus albacares","Yellowfin tuna","Mexico","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","MEX"
"Thunnus albacares","Yellowfin tuna","Peru","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","PER"
"Thunnus albacares","Yellowfin tuna","Philippines","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","PHL"
"Thunnus albacares","Yellowfin tuna","South Africa","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","ZAF"
"Thunnus albacares","Yellowfin tuna","Thailand","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","THA"
"Thunnus albacares","Yellowfin tuna","Vietnam","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","VNM"
"Trachurus murphyi","Chilean jack mackerel","Chile","yes","yes",0.452266405900815,3056.957222,3702.238646,"cargill",NA,"Chilean jack mackerel","CHL"
"Trachurus murphyi","Chilean jack mackerel","Ecuador","no","yes",1,1077.173512,0,"cargill",NA,"Chilean jack mackerel","ECU"
"Trachurus murphyi","Chilean jack mackerel","Peru","no","yes",1,1077.173512,0,"cargill",NA,"Chilean jack mackerel","PER"
"Trisopterus esmarkii","Norway pout","Denmark","yes","no",0,0,1933.188653,"cargill",NA,"Norway pout","DNK"
"Trisopterus esmarkii","Norway pout","Norway","yes","no",0,0,1933.188653,"cargill",NA,"Norway pout","NOR"
NA,"Miscellaneous species","Argentina","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","ARG"
NA,"Miscellaneous species","Brazil","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","BRA"
NA,"Miscellaneous species","Chile","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","CHL"
NA,"Miscellaneous species","China","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","CHN"
NA,"Miscellaneous species","Denmark","yes","no",0,0,4997.110291,"cargill",NA,"Miscellaneous species","DNK"
NA,"Miscellaneous species","Ecuador","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","ECU"
NA,"Miscellaneous species","India","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","IND"
NA,"Miscellaneous species","Ireland","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","IRL"
NA,"Miscellaneous species","Mexico","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","MEX"
NA,"Miscellaneous species","Morocco","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","MAR"
NA,"Miscellaneous species","Norway","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","NOR"
NA,"Miscellaneous species","Other","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species",NA
NA,"Miscellaneous species","Philippines","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","PHL"
NA,"Miscellaneous species","South Africa","yes","no",0,0,4997.110291,"cargill",NA,"Miscellaneous species","ZAF"
NA,"Miscellaneous species","Thailand","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","THA"
NA,"Miscellaneous species","U.S.","yes","yes",0.223505275419881,3916.251168,13605.71184,"cargill",NA,"Miscellaneous species","USA"
NA,"Miscellaneous species","Vietnam","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","VNM"
NA,"Mixed whitefish*","Denmark","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","DNK"
NA,"Mixed whitefish*","Iceland","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","ISL"
NA,"Mixed whitefish*","Ireland","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","IRL"
NA,"Mixed whitefish*","Morocco","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","MAR"
NA,"Mixed whitefish*","Norway","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","NOR"
NA,"Mixed whitefish*","U.K.","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","GBR"
