"sciname","common_name","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish"
"engraulis ringens","anchoveta(=peruvian anchovy)","PER","yes","no",0,"Peron 2010",NA,"Engraulis ringens","yes","no"
"trachurus murphyi","chilean jack mackerel","PER","yes","no",0,"Peron 2010",NA,"Trachurus murphyi","yes","no"
"scomber japonicus","pacific chub mackerel","PER","yes","no",0,"Peron 2010",NA,"Scomber japonicus","yes","no"
"engraulis ringens","anchoveta(=peruvian anchovy)","CHL","yes","no",0,"Peron 2010",NA,"Engraulis ringens","yes","no"
"trachurus murphyi","chilean jack mackerel","CHL","yes","no",0,"Peron 2010",NA,"Trachurus murphyi","yes","no"
"scomber japonicus","pacific chub mackerel","CHL","yes","no",0,"Peron 2010",NA,"Scomber japonicus","yes","no"
"trachurus murphyi","chilean jack mackerel","CHN","yes","no",0,"Peron 2010",NA,"Trachurus murphyi","yes","no"
"scomber japonicus","pacific chub mackerel","CHN","yes","no",0,"Peron 2010",NA,"Scomber japonicus","yes","no"
"engraulis japonicus","japanese anchovy","CHN","yes","no",0,"Peron 2010",NA,"Engraulis japonicus","yes","no"
"trachurus japonicus","japanese jack mackerel","CHN","yes","no",0,"Peron 2010",NA,"Trachurus japonicus","yes","no"
"sardinella zunasi","japanese sardinella","CHN","yes","no",0,"Peron 2010",NA,"Sardinops melanostictus","yes","no"
"clupea pallasii","pacific herring","CHN","yes","no",0,"Peron 2010",NA,"Clupea pallasii","yes","no"
"sardinella","sardinellas nei","THA","yes","no",0,"Peron 2010",NA,"Sardinella spp.","yes","no"
"rastrelliger kanagurta","indian mackerel","THA","yes","no",0,"Peron 2010",NA,"Rastrelliger kanagurta","yes","no"
"rastrelliger","indian mackerels nei","THA","yes","no",0,"Peron 2010",NA,"Rastrelliger spp.","yes","no"
"engraulidae","anchovies, etc. nei","THA","yes","no",0,"Peron 2010",NA,"Engraulidae","yes","no"
"mallotus villosus","capelin","NOR","yes","no",0,"Peron 2010",NA,"Mallotus villosus","yes","no"
"trisopterus esmarkii","norway pout","NOR","yes","no",0,"Peron 2010",NA,"Trisopterus esmarkii","yes","no"
"micromesistius poutassou","blue whiting(=poutassou)","NOR","yes","no",0,"Peron 2010",NA,"Micromesistius poutassou","yes","no"
"ammodytes","sandeels(=sandlances) nei","NOR","yes","no",0,"Peron 2010",NA,"Ammodytes spp","yes","no"
"sprattus sprattus","european sprat","NOR","yes","no",0,"Peron 2010",NA,"Sprattus sprattus","yes","no"
"brevoortia patronus","gulf menhaden","USA","yes","no",0,"Peron 2010",NA,"Brevoortia patronus","yes","no"
"brevoortia tyrannus","atlantic menhaden","USA","yes","no",0,"Peron 2010",NA,"Brevoortia tyrannus","yes","no"
"clupea harengus","atlantic herring","USA","yes","no",0,"Peron 2010",NA,"Clupea harengus","yes","no"
"clupea pallasii","pacific herring","USA","yes","no",0,"Peron 2010",NA,"Clupea pallasii","yes","no"
"sardinops sagax","south american pilchard","USA","yes","no",0,"Peron 2010",NA,"Sardinops sagax caerulea","yes","no"
"mallotus villosus","capelin","ISL","yes","no",0,"Peron 2010",NA,"Mallotus villosus","yes","no"
"micromesistius poutassou","blue whiting(=poutassou)","ISL","yes","no",0,"Peron 2010",NA,"Micromesistius poutassou","yes","no"
"clupea harengus","atlantic herring","ISL","yes","no",0,"Peron 2010",NA,"Clupea harengus","yes","no"
"scomber japonicus","pacific chub mackerel","JPN","yes","no",0,"Peron 2010",NA,"Scomber japonicus","yes","no"
"engraulis japonicus","japanese anchovy","JPN","yes","no",0,"Peron 2010",NA,"Engraulis japonicus","yes","no"
"trachurus japonicus","japanese jack mackerel","JPN","yes","no",0,"Peron 2010",NA,"Trachurus japonicus","yes","no"
"sardinella zunasi","japanese sardinella","JPN","yes","no",0,"Peron 2010",NA,"Sardinops melanostictus","yes","no"
"clupea pallasii","pacific herring","JPN","yes","no",0,"Peron 2010",NA,"Clupea pallasii","yes","no"
"clupea harengus","atlantic herring","DNK","yes","no",0,"Peron 2010",NA,"Clupea harengus","yes","no"
"trisopterus esmarkii","norway pout","DNK","yes","no",0,"Peron 2010",NA,"Trisopterus esmarkii","yes","no"
"micromesistius poutassou","blue whiting(=poutassou)","DNK","yes","no",0,"Peron 2010",NA,"Micromesistius poutassou","yes","no"
"ammodytes","sandeels(=sandlances) nei","DNK","yes","no",0,"Peron 2010",NA,"Ammodytes spp","yes","no"
"sprattus sprattus","european sprat","DNK","yes","no",0,"Peron 2010",NA,"Sprattus sprattus","yes","no"
"engraulis encrasicolus","european anchovy","ZAF","yes","no",0,"Peron 2010",NA,"Engraulis encrasicolus","yes","no"
"trachurus capensis","cape horse mackerel","ZAF","yes","no",0,"Peron 2010",NA,"Trachurus capensis","yes","no"
"sardinops sagax","south american pilchard","ZAF","yes","no",0,"Peron 2010",NA,"Sardinops sagax","yes","no"
"sardinops sagax","south american pilchard","MEX","yes","no",0,"Peron 2010",NA,"Sardinops sagax caerulea","yes","no"
"scomber japonicus","pacific chub mackerel","MEX","yes","no",0,"Peron 2010",NA,"Scomber Japonicus","yes","no"
"mallotus villosus","capelin","FRO","yes","no",0,"Peron 2010",NA,"Mallotus villosus","yes","no"
"trisopterus esmarkii","norway pout","FRO","yes","no",0,"Peron 2010",NA,"Trisopterus esmarkii","yes","no"
"micromesistius poutassou","blue whiting(=poutassou)","FRO","yes","no",0,"Peron 2010",NA,"Micromesistius poutassou","yes","no"
"ammodytes","sandeels(=sandlances) nei","FRO","yes","no",0,"Peron 2010",NA,"Ammodytes spp","yes","no"
"engraulis encrasicolus","european anchovy","MAR","yes","no",0,"Peron 2010",NA,"Engraulis encrasicolus","yes","no"
"sardina pilchardus","european pilchard(=sardine)","MAR","yes","no",0,"Peron 2010",NA,"Sardina pilchardus","yes","no"
"clupea harengus","atlantic herring","CAN","yes","no",0,"Peron 2010",NA,"Clupea harengus","yes","no"
"clupea pallasii","pacific herring","CAN","yes","no",0,"Peron 2010",NA,"Clupea pallasii","yes","no"
"mallotus villosus","capelin","CAN","yes","no",0,"Peron 2010",NA,"Mallotus villosus","yes","no"
